amount,date,time,transaction_status,transaction_id,merchant_name,device_name,is_fraud,location
30.00,2025-10-09,4:34,Success,,"DHANLAXMI AGENCY using Bank Account XXXXXXX5446 Oct 9, 2025, 4:34:53 PM GMT+05:30 Sent",realme narzo50a,1,Dondaicha
4500.00,2025-10-08,8:47,Success,,,realme narzo50a,0,Dhule
40.00,2025-10-06,5:56,Success,,,realme narzo50a,0,Dondaicha
26.00,2025-10-05,9:08,Success,,"Vi Prepaid using Bank Account XXXXXXX5446 Oct 5, 2025, 9:08:34 PM GMT+05:30 Sent",realme narzo50a,0,Indave
1200.00,2025-10-05,1:21,Success,,,realme narzo50a,0,Dhule
26.00,2025-09-29,4:21,Success,,"Vi Prepaid Sep 29, 2025, 4:21:09 PM GMT+05:30",realme narzo50a,0,Dondaicha
23.00,2025-09-28,9:09,Success,,"Vi Prepaid Sep 28, 2025, 9:09:06 PM GMT+05:30",realme narzo50a,0,Shirpur
26.00,2025-09-28,7:34,Success,,"Vi Prepaid Sep 28, 2025, 7:34:10 PM GMT+05:30 Sent",realme narzo50a,0,Indave
110.00,2025-09-28,4:26,Success,,"SHOBHA MANOJ TANEJA using Bank Account XXXXXXX5446 Sep 28, 2025, 4:26:20 PM GMT+05:30",realme narzo50a,0,Dhule
180.00,2025-09-28,4:16,Success,,"Mohammad Shohel Mohammad Shabbir using Bank Account XXXXXXX5446 Sep 28, 2025, 4:16:10 PM GMT+05:30",realme narzo50a,0,Shirpur
300.90,2025-09-25,6:59,Success,,"Jio Prepaid using Bank Account XXXXXXX5446 Sep 25, 2025, 6:59:35 AM GMT+05:30",realme narzo50a,0,Shirpur
300.90,2025-09-17,12:27,Success,,"Vi Prepaid using Bank Account XXXXXXX5446 Sep 17, 2025, 12:27:41 PM GMT+05:30",realme narzo50a,0,Shirpur
5.00,2025-09-09,12:46,Success,,"Mr VIKAS NAVAL PATIL Sep 9, 2025, 12:46:16 PM GMT+05:30",realme narzo50a,0,Indave
100.00,2025-09-08,8:37,Success,,,realme narzo50a,0,Dondaicha
1200.00,2025-09-07,7:51,Success,,,realme narzo50a,0,Dondaicha
125.00,2025-09-07,7:30,Success,,"Kiran Aananda Dhnagar using Bank Account XXXXXXX5446 Sep 7, 2025, 7:30:24 PM GMT+05:30",realme narzo50a,0,Indave
30.00,2025-09-07,3:59,Success,,"Swarupchand Kevalchand Surana using Bank Account XXXXXXX5446 Sep 7, 2025, 3:59:45 PM GMT+05:30",realme narzo50a,0,Shirpur
30.00,2025-09-06,4:49,Success,,"NITISHA BHAUSAHEB DEORE using Bank Account XXXXXXX5446 Sep 6, 2025, 4:49:41 PM GMT+05:30",realme narzo50a,0,Dondaicha
160.00,2025-09-03,11:57,Success,,"BAGWAN MO SUFIYAN SK using Bank Account XXXXXXX5446 Sep 3, 2025, 11:57:40 AM GMT+05:30",realme narzo50a,0,Dhule
20.00,2025-09-03,11:54,Success,,"Mr GANESH DONGAR NAGRALE Sep 3, 2025, 11:54:50 AM GMT+05:30",realme narzo50a,0,Dondaicha
242.00,2025-09-02,10:44,Success,,"SAI RAM MEDICAL AND GENERAL STORES Sep 2, 2025, 10:44:06 AM GMT+05:30",realme narzo50a,0,Indave
95.00,2025-08-31,9:00,Success,,"JAIN SWARUPCHAND KEVALCHAND Aug 31, 2025, 9:00:41 PM GMT+05:30 Sent",realme narzo50a,0,Indave
20.00,2025-08-31,1:19,Success,,"SAI RAM MEDICAL AND GENERAL STORES using Bank Account XXXXXXX5446 Aug 31, 2025, 1:19:59 PM GMT+05:30",realme narzo50a,1,Indave
30.00,2025-08-30,10:06,Success,,"SHREE GURUDATT IDLI CENTER using Bank Account XXXXXXX5446 Aug 30, 2025, 10:06:07 AM GMT+05:30",realme narzo50a,0,Shirpur
20.00,2025-08-30,10:00,Success,,"PRAKASHKUMAR CHAMANLAL THAKKAR Aug 30, 2025, 10:00:20 AM GMT+05:30 Used GPay Vouchers Aug 29, 2025, 12:30:00 PM GMT+05:30 Sent",realme narzo50a,0,Dondaicha
2200.00,2025-08-28,11:56,Success,,,realme narzo50a,0,Indave
4500.00,2025-08-28,8:09,Success,,,realme narzo50a,0,Shirpur
50.00,2025-08-24,8:38,Success,,,realme narzo50a,0,Shirpur
65.00,2025-08-24,8:29,Success,,,realme narzo50a,0,Indave
66.00,2025-08-24,8:29,Success,,,realme narzo50a,0,Indave
198.00,2025-08-24,8:14,Success,,"Kiran Aananda Dhnagar using Bank Account XXXXXXX5446 Aug 24, 2025, 8:14:14 PM GMT+05:30",realme narzo50a,0,Indave
300.00,2025-08-24,7:32,Success,,,realme narzo50a,0,Indave
100.00,2025-08-23,1:04,Success,,"GANESH SANJAY BORSE using Bank Account XXXXXXX5446 Aug 23, 2025, 1:04:48 PM GMT+05:30",realme narzo50a,0,Dhule
40.00,2025-08-22,8:41,Success,,"BHAGWAN GIRI using Bank Account XXXXXXX5446 Aug 22, 2025, 8:41:55 AM GMT+05:30",realme narzo50a,0,Indave
10.00,2025-08-19,2:20,Success,,,realme narzo50a,0,Shirpur
30.00,2025-08-19,2:19,Success,,"PRAKASHKUMAR CHAMANL using Bank Account XXXXXXX5446 Aug 19, 2025, 2:19:33 PM GMT+05:30",realme narzo50a,0,Shirpur
14.00,2025-08-19,1:55,Success,,,realme narzo50a,0,Indave
1400.00,2025-08-19,8:09,Success,,,realme narzo50a,0,Indave
150.00,2025-08-18,9:15,Success,,,realme narzo50a,0,Indave
366.90,2025-08-18,7:12,Success,,"Vi Prepaid using Bank Account XXXXXXX5446 Aug 18, 2025, 7:12:48 PM GMT+05:30",realme narzo50a,0,Dhule
250.00,2025-08-18,11:52,Success,,"Lucky Mobile using Bank Account XXXXXXX5446 Aug 18, 2025, 11:52:08 AM GMT+05:30",realme narzo50a,0,Dhule
90.00,2025-08-18,7:49,Success,,,realme narzo50a,0,Indave
40.00,2025-08-17,8:38,Success,,"JAIN SWARUPCHAND KEVALCHAND Aug 17, 2025, 8:38:03 PM GMT+05:30",realme narzo50a,0,Indave
120.00,2025-08-17,8:17,Success,,"CHANDRAKANTRAMASALI Aug 17, 2025, 8:17:51 PM GMT+05:30",realme narzo50a,0,Dhule
30.00,2025-08-14,3:32,Success,,"JAIN SWARUPCHAND KEVALCHAND Aug 14, 2025, 3:32:20 PM GMT+05:30 Sent",realme narzo50a,0,Dondaicha
20.00,2025-08-13,1:07,Success,,"JAIN SWARUPCHAND KEVALCHAND Aug 13, 2025, 1:07:44 PM GMT+05:30",realme narzo50a,0,Indave
23.00,2025-08-12,5:40,Success,,"Vi Prepaid Aug 12, 2025, 5:40:49 PM GMT+05:30 Sent",realme narzo50a,0,Shirpur
350.90,2025-08-09,5:04,Success,,"Jio Prepaid using Bank Account XXXXXXX5446 Aug 9, 2025, 5:04:44 PM GMT+05:30",realme narzo50a,0,Dondaicha
20.00,2025-08-08,3:58,Success,,"MRS LATABAI ARUN MAHAJAN using Bank Account XXXXXXX5446 Aug 8, 2025, 3:58:33 PM GMT+05:30",realme narzo50a,0,Shirpur
50.00,2025-08-07,8:59,Success,,,realme narzo50a,0,Indave
250.00,2025-08-07,8:52,Success,,,realme narzo50a,1,Dondaicha
30.00,2025-08-07,8:49,Success,,,realme narzo50a,0,Shirpur
1100.00,2025-08-07,4:22,Success,,,realme narzo50a,0,Indave
34.00,2025-08-05,12:23,Success,,"JAIN SWARUPCHAND KEVALCHAND Aug 5, 2025, 12:23:57 PM GMT+05:30",realme narzo50a,0,Dondaicha
700.00,2025-07-31,7:49,Success,,,realme narzo50a,0,Shirpur
40.00,2025-07-27,9:19,Success,,,realme narzo50a,0,Dhule
30.00,2025-07-27,8:24,Success,,"GOKUL MADHUKAR GOPAL Jul 27, 2025, 8:24:36 PM GMT+05:30",realme narzo50a,0,Shirpur
252.00,2025-07-25,1:43,Success,,"Amazon Pay Groceries using Bank Account XXXXXXX5446 Jul 25, 2025, 1:43:52 PM GMT+05:30",realme narzo50a,0,Dondaicha
740.00,2025-07-25,11:31,Success,,"S G GUPTA AND COMPANY using Bank Account XXXXXXX5446 Jul 25, 2025, 11:31:51 AM GMT+05:30 Sent",realme narzo50a,0,Shirpur
50.00,2025-07-21,12:46,Success,,,realme narzo50a,0,Dhule
100.00,2025-07-20,8:11,Success,,"KOMAL SANJAY PATIL using Bank Account XXXXXXX5446 Jul 20, 2025, 8:11:12 PM GMT+05:30",realme narzo50a,0,Dhule
366.90,2025-07-19,9:30,Success,,"Vi Prepaid using Bank Account XXXXXXX5446 Jul 19, 2025, 9:30:41 AM GMT+05:30",realme narzo50a,0,Dondaicha
2000.00,2025-07-18,8:32,Success,,"S G GUPTA AND COMPANY using Bank Account XXXXXXX5446 Jul 18, 2025, 8:32:29 PM GMT+05:30",realme narzo50a,0,Dhule
699.90,2025-07-18,3:41,Success,,"Vi Prepaid Jul 18, 2025, 3:41:19 PM GMT+05:30",realme narzo50a,1,Indave
71500.00,2025-07-18,9:59,Success,,"R C Patel Institute Of Technology Shirpur using Bank Account XXXXXXX5446 Jul 18, 2025, 9:59:33 AM GMT+05:30 Sent",realme narzo50a,1,Dhule
35000.00,2025-07-17,9:10,Success,,,realme narzo50a,0,Dhule
30.00,2025-07-12,8:07,Success,,"GOKUL MADHUKAR GOPAL using Bank Account XXXXXXX5446 Jul 12, 2025, 8:07:52 PM GMT+05:30",realme narzo50a,0,Indave
30.00,2025-07-12,8:07,Success,,"GOKUL MADHUKAR GOPAL Jul 12, 2025, 8:07:37 PM GMT+05:30",realme narzo50a,1,Dondaicha
80.00,2025-07-12,8:01,Success,,"JAIN SWARUPCHAND KEVALCHAND Jul 12, 2025, 8:01:00 PM GMT+05:30",realme narzo50a,0,Indave
35.00,2025-07-12,7:57,Success,,,realme narzo50a,0,Dhule
10.00,2025-07-12,7:32,Success,,"SANTOSH KHANDU RUKHMANE using Bank Account XXXXXXX5446 Jul 12, 2025, 7:32:01 PM GMT+05:30",realme narzo50a,0,Dondaicha
10.00,2025-07-12,7:31,Success,,"SANTOSH KHANDU RUKHMANE Jul 12, 2025, 7:31:43 PM GMT+05:30",realme narzo50a,0,Indave
300.00,2025-07-12,7:03,Success,,"HARIOM DRESSES using Bank Account XXXXXXX5446 Jul 12, 2025, 7:03:33 PM GMT+05:30",realme narzo50a,0,Shirpur
45.00,2025-07-11,8:16,Success,,"Kasubai Narendra Bhoi Jul 11, 2025, 8:16:16 PM GMT+05:30",realme narzo50a,0,Indave
60.00,2025-07-11,8:06,Success,,"Shree Swami Samarth Amratulya Jul 11, 2025, 8:06:42 PM GMT+05:30",realme narzo50a,0,Indave
3500.00,2025-07-11,8:42,Success,,,realme narzo50a,0,Dondaicha
23.00,2025-07-10,4:02,Success,,"Vi Prepaid Jul 10, 2025, 4:02:28 PM GMT+05:30",realme narzo50a,0,Dhule
23.00,2025-07-10,1:52,Success,,"Vi Prepaid Jul 10, 2025, 1:52:30 PM GMT+05:30",realme narzo50a,0,Indave
39000.00,2025-07-10,7:58,Success,,,realme narzo50a,0,Indave
350.90,2025-07-09,2:02,Success,,"Jio Prepaid using Bank Account XXXXXXX5446 Jul 9, 2025, 2:02:55 PM GMT+05:30 Sent",realme narzo50a,0,Dondaicha
80.00,2025-06-25,7:01,Success,,,realme narzo50a,0,Shirpur
366.90,2025-06-24,9:40,Success,,"Vi Prepaid using Bank Account XXXXXXX5446 Jun 24, 2025, 9:40:04 PM GMT+05:30",realme narzo50a,0,Dondaicha
29.00,2025-06-23,6:12,Success,,"Jio Prepaid Jun 23, 2025, 6:12:38 PM GMT+05:30 Sent",realme narzo50a,0,Dondaicha
150.00,2025-06-19,12:24,Success,,,realme narzo50a,0,Shirpur
5030.00,2025-06-13,6:38,Success,,,realme narzo50a,0,Dhule
40.00,2025-06-04,9:44,Success,,"Mr SAMADHAN SURESH PATIL using Bank Account XXXXXXX5446 Jun 4, 2025, 9:44:23 PM GMT+05:30",realme narzo50a,0,Shirpur
85.00,2025-06-02,2:56,Success,,"MANUSHRI ZEROX AND GENRAL PRO KISHOR using Bank Account XXXXXXX5446 Jun 2, 2025, 2:56:55 PM GMT+05:30",realme narzo50a,0,Indave
150.00,2025-06-02,1:44,Success,,,realme narzo50a,0,Dhule
40.00,2025-05-31,9:20,Success,,"IMTIYAZ BI SHAIKH MUNSI May 31, 2025, 9:20:01 PM GMT+05:30",realme narzo50a,0,Dondaicha
20.00,2025-05-30,8:47,Success,,"MULCHAND PARAS GUJAR May 30, 2025, 8:47:58 PM GMT+05:30 Sent",realme narzo50a,0,Dhule
40.00,2025-05-26,8:30,Success,,"IMTIYAZ BI SHAIKH MUNSI May 26, 2025, 8:30:49 PM GMT+05:30",realme narzo50a,1,Dondaicha
366.90,2025-05-26,8:24,Success,,"Vi Prepaid using Bank Account XXXXXXX5446 May 26, 2025, 8:24:49 AM GMT+05:30 Sent",realme narzo50a,0,Indave
20.00,2025-05-19,7:39,Success,,"DURGESH PRALHAD PAWAR using Bank Account XXXXXXX5446 May 19, 2025, 7:39:24 PM GMT+05:30",realme narzo50a,0,Dhule
15.00,2025-05-19,7:28,Success,,"GOKUL MADHUKAR GOPAL using Bank Account XXXXXXX5446 May 19, 2025, 7:28:10 PM GMT+05:30",realme narzo50a,0,Shirpur
90.00,2025-05-18,12:28,Success,,,realme narzo50a,0,Dhule
25.00,2025-05-14,8:37,Success,,"DILIP HIMMATRAO DHOL May 14, 2025, 8:37:31 PM GMT+05:30",realme narzo50a,0,Shirpur
20.00,2025-05-11,8:30,Success,,"JAIN SWARUPCHAND KEVALCHAND May 11, 2025, 8:30:47 PM GMT+05:30",realme narzo50a,0,Dhule
70.00,2025-05-11,8:21,Success,,"BHIMRAO ATMARAM MALI May 11, 2025, 8:21:35 PM GMT+05:30 Used GPay Vouchers May 9, 2025, 12:30:00 PM GMT+05:30",realme narzo50a,0,Dondaicha
100.00,2025-05-07,5:24,Success,,"KIRANSANTOSHWAGH May 7, 2025, 5:24:32 PM GMT+05:30",realme narzo50a,0,Dhule
5.00,2025-05-07,1:23,Success,,"Mr VIKAS NAVAL PATIL May 7, 2025, 1:23:23 PM GMT+05:30",realme narzo50a,0,Indave
95.00,2025-05-06,12:34,Success,,"NITA KISHOR PATIL May 6, 2025, 12:34:44 PM GMT+05:30",realme narzo50a,0,Dhule
500.00,2025-05-06,8:00,Success,,,realme narzo50a,0,Dondaicha
105.00,2025-05-05,8:15,Success,,"JADHAV CHANDRADIP KEVALSING May 5, 2025, 8:15:36 PM GMT+05:30",realme narzo50a,0,Dhule
30.00,2025-05-05,5:04,Success,,,realme narzo50a,0,Shirpur
20.00,2025-05-05,4:59,Success,,,realme narzo50a,0,Shirpur
45.00,2025-05-03,7:24,Success,,"JAIN SWARUPCHAND KEVALCHAND using Bank Account XXXXXXX5446 May 3, 2025, 7:24:59 PM GMT+05:30",realme narzo50a,0,Dondaicha
30.00,2025-05-03,7:14,Success,,"GOKUL MADHUKAR GOPAL using Bank Account XXXXXXX5446 May 3, 2025, 7:14:20 PM GMT+05:30",realme narzo50a,0,Indave
15.00,2025-05-03,10:41,Success,,"SP PRINTING using Bank Account XXXXXXX5446 May 3, 2025, 10:41:26 AM GMT+05:30",realme narzo50a,0,Shirpur
100.00,2025-05-02,5:58,Success,,,realme narzo50a,0,Shirpur
250.00,2025-05-01,7:23,Success,,"AVINASH ASHOK THA using Bank Account XXXXXXX5446 May 1, 2025, 7:23:32 PM GMT+05:30",realme narzo50a,0,Shirpur
500.00,2025-05-01,5:21,Success,,,realme narzo50a,0,Shirpur
30.00,2025-04-30,8:45,Success,,"MULCHAND PARAS GUJAR using Bank Account XXXXXXX5446 Apr 30, 2025, 8:45:18 PM GMT+05:30 Sent",realme narzo50a,0,Shirpur
60.00,2025-04-30,8:33,Success,,"Mr MUKESH RAJENDRA KOLI using Bank Account XXXXXXX5446 Apr 30, 2025, 8:33:04 PM GMT+05:30",realme narzo50a,0,Shirpur
20.00,2025-04-30,8:00,Success,,,realme narzo50a,0,Shirpur
100.00,2025-04-29,12:39,Success,,,realme narzo50a,0,Shirpur
30.00,2025-04-27,8:05,Success,,,realme narzo50a,0,Dhule
25.00,2025-04-26,6:53,Success,,,realme narzo50a,0,Dondaicha
40.00,2025-04-24,8:23,Success,,"IMTIYAZ BI SHAIKH MUNSI using Bank Account XXXXXXX5446 Apr 24, 2025, 8:23:45 PM GMT+05:30",realme narzo50a,0,Indave
20.00,2025-04-22,5:37,Success,,"Shree Swami Samarth Amratulya using Bank Account XXXXXXX5446 Apr 22, 2025, 5:37:04 PM GMT+05:30",realme narzo50a,0,Dondaicha
50.00,2025-04-22,5:15,Success,,,realme narzo50a,0,Dhule
30.00,2025-04-22,5:14,Success,,"Kasubai Narendra Bhoi using Bank Account XXXXXXX5446 Apr 22, 2025, 5:14:01 PM GMT+05:30",realme narzo50a,0,Shirpur
200.00,2025-04-22,4:02,Success,,,realme narzo50a,0,Indave
366.90,2025-04-22,7:40,Success,,"Vi Prepaid using Bank Account XXXXXXX5446 Apr 22, 2025, 7:40:30 AM GMT+05:30 Sent",realme narzo50a,0,Shirpur
15.00,2025-04-20,7:39,Success,,"SAMPAT LAL BAIRWA using Bank Account XXXXXXX5446 Apr 20, 2025, 7:39:54 PM GMT+05:30",realme narzo50a,0,Indave
