amount,date,time,transaction_status,transaction_id,merchant_name,device_name,is_fraud,location
449.00,2025-09-09,23:30,Success,,"Wooden Photo Frame using Bank Account XXXXXX6516 9 Sept 2025, 23:30:14 GMT+05:30 Sent",one plus,0,Dhule
247.20,2025-08-15,13:07,Success,,"DISTRICT MOVIE TICKET using Bank Account XXXXXX6516 15 Aug 2025, 13:07:24 GMT+05:30 Sent",one plus,0,Dondaicha
140.00,2025-07-13,20:34,Success,,,one plus,1,Dondaicha
10.00,2025-07-05,19:04,Success,,,one plus,0,Indave
15.00,2025-07-05,18:31,Success,,,one plus,0,Indave
10.00,2025-06-04,18:38,Success,,,one plus,0,Shirpur
136.00,2025-05-24,17:08,Success,,,one plus,0,Shirpur
500.00,2025-05-23,22:41,Success,,,one plus,0,Shirpur
1500.00,2025-05-18,21:48,Success,,,one plus,0,Shirpur
15.00,2025-05-14,16:02,Success,,,one plus,0,Shirpur
26.00,2025-05-10,12:38,Success,,"MSRTC using Bank Account XXXXXX6516 10 May 2025, 12:38:29 GMT+05:30",one plus,0,Indave
20.00,2025-05-06,18:35,Success,,,one plus,0,Dondaicha
20.00,2025-04-26,18:08,Success,,,one plus,0,Dondaicha
5.00,2025-04-22,11:31,Success,,,one plus,0,Indave
1000.00,2025-04-15,19:19,Success,,,one plus,0,Indave
30.00,2025-04-15,19:10,Success,,,one plus,0,Indave
10.00,2025-04-12,09:25,Success,,,one plus,0,Dhule
120.00,2025-04-05,10:42,Success,,,one plus,0,Dondaicha
5.00,2025-03-20,18:45,Success,,"Puneri Femous Bhel Centre using Bank Account XXXXXX6516 20 Mar 2025, 18:45:52 GMT+05:30",one plus,0,Shirpur
50.00,2025-03-20,17:54,Success,,,one plus,0,Indave
30.00,2025-03-16,21:36,Success,,,one plus,0,Indave
10.00,2025-03-11,16:13,Success,,,one plus,0,Indave
20.00,2025-03-03,14:46,Success,,,one plus,0,Indave
255.90,2025-02-24,21:40,Success,,"Unstop using Bank Account XXXXXX6516 24 Feb 2025, 21:40:35 GMT+05:30",one plus,0,Shirpur
255.90,2025-02-24,21:37,Success,,"FLIVE CONSULTING PRIVATE LIMITED 24 Feb 2025, 21:37:36 GMT+05:30",one plus,0,Dhule
14.00,2025-01-22,09:50,Success,,,one plus,0,Dondaicha
10.00,2025-01-21,19:58,Success,,,one plus,0,Shirpur
20.00,2024-12-19,16:18,Success,,,one plus,0,Indave
110.00,2024-12-19,11:14,Success,,"DINESH SHIVLAL CHAUDHARI using Bank Account XXXXXX6516 19 Dec 2024, 11:14:41 GMT+05:30",one plus,0,Dondaicha
10.00,2024-12-17,10:17,Success,,,one plus,0,Shirpur
100.00,2024-12-08,14:14,Success,,,one plus,0,Dondaicha
10.00,2024-12-06,18:37,Success,,,one plus,0,Shirpur
10.00,2024-12-05,10:59,Success,,,one plus,0,Dondaicha
25.00,2024-11-27,17:30,Success,,,one plus,0,Dondaicha
300.90,2024-11-26,09:12,Success,,"Airtel Prepaid using Bank Account XXXXXX6516 26 Nov 2024, 09:12:44 GMT+05:30 Sent",one plus,0,Dondaicha
5.00,2024-11-17,18:45,Success,,"Google 17 Nov 2024, 18:45:12 GMT+05:30 Sent",one plus,0,Dondaicha
25.00,2024-11-17,08:56,Success,,,one plus,0,Dondaicha
10.00,2024-11-13,19:42,Success,,,one plus,0,Indave
50.00,2024-11-13,15:56,Success,,,one plus,0,Indave
5.00,2024-11-13,14:13,Success,,,one plus,0,Dondaicha
22.00,2024-11-02,13:59,Success,,"Airtel Prepaid using Bank Account XXXXXX6516 2 Nov 2024, 13:59:22 GMT+05:30 Sent",one plus,0,Dhule
10.00,2024-10-18,21:40,Success,,,one plus,0,Dhule
2000.00,2024-10-16,08:14,Success,,,one plus,0,Dondaicha
200.00,2024-10-13,17:35,Success,,,one plus,0,Indave
300.90,2024-09-27,21:15,Success,,"Airtel Prepaid using Bank Account XXXXXX6516 27 Sept 2024, 21:15:31 GMT+05:30",one plus,0,Indave
3000.00,2024-09-03,09:19,Success,,,one plus,0,Dhule
50000.00,2024-09-01,11:37,Success,,,one plus,0,Dondaicha
7005.00,2024-08-11,09:33,Success,,,one plus,0,Dondaicha
3300.00,2024-08-02,19:03,Success,,,one plus,0,Indave
200.00,2022-12-19,13:45,Success,,,one plus,0,Dhule
8.00,2022-04-19,17:44,Success,,"Dream11 using Bank Account XXXXXX6516 19 Apr 2022, 17:44:53 GMT+05:30",one plus,0,Dondaicha
25.00,2022-03-24,13:39,Success,,"Dream11 using Bank Account XXXXXX6516 24 Mar 2022, 13:39:24 GMT+05:30",one plus,0,Dondaicha
1500.00,2022-03-16,19:09,Success,,,one plus,0,Dhule
70.00,2022-03-06,11:18,Success,,"Sai Bhoomi Hair Salon using Bank Account XXXXXX6516 6 Mar 2022, 11:18:29 GMT+05:30",one plus,0,Shirpur
1000.00,2022-02-28,18:58,Success,,,one plus,0,Indave
50.00,2022-02-27,18:09,Success,,,one plus,0,Dhule
1000.00,2022-02-16,07:08,Success,,,one plus,0,Shirpur
